Παροχή_Κωδικοποιημένη,Ημ.Έκδοσης,"Περίοδος Κατανάλωσης",ΣΕΛΙΔΑ,Τιμολόγιο,ΤΥΠΟΣ,Ημέρα,Προηγ.,ΣΩΧΒ,Συν.ΩΧΒ,ΧρΖητ,ΣυμφΙσχ,ΕγκΙσχ,Συνφ,ΖητΑιχ,ΖητΗμ,ΖητΝυκ,ΣυντΧρησ,"ΧΡΕΩΣΕΙΣ ΠΡΟΜΗΘΕΙΑΣ ΔΕΗ","ΦΠΑ  6% x","ΡΥΘΜΙΖΟΜΕΝΕΣ ΧΡΕΩΣΕΙΣ","ΦΠΑ   % x          0,00","ΜΕΙΟΝ ΕΝΑΝΤΙ ΚΑΤΑΝΑΛΩΣΗΣ",Ε.Ρ.Τ.,"ΤΡΕΧΩΝ ΜΗΝΑΣ",ΕΚΠΤ.ΣΥΝΕΠΕΙΑΣ/ΠΡΟΠΛΗΡΩΜΗΣ,ΔΗΜ.ΤΕΛΗ/ΔΗΜ.ΦΟΡΟΣ,ΔΙΑΦ.ΧΡΕΩΣΕΙΣ/ΠΙΣΤΩΣΕΙΣ,Τ.Α.Π.,Τελευτ.,"Αεργος Ημέρα",Τελευτ._Αεργος,Προηγ._Αεργος,ΣΩΧΒ_Αεργος,Συν.ΩΧΒ_Αεργος,Νύχτα,Προηγ._Νύχτα,ΣΩΧΒ_Νύχτα,Συν.ΩΧΒ_Νύχτα,year,month,Τελευτ._Νύχτα,Ημέρα_2,Προηγ._2,ΣΩΧΒ_2,Συν.ΩΧΒ_2,Τελευτ._2
162,23/06/2021,21.04.2021-21.06.2021,11,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,35477,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","167,91","15,74","94,46","0,00","0,00","0,00","278,00","0,00","0,00","-0,11","0,00",,,,,,,,,,,2021,6,,,,,,
25,24/02/2022,23.08.2021-21.02.2022,2,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,45467,1,4909,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","964,32","43,28","277,80","0,00","-538,81","0,00","771,00","-6,34","0,00","30,75","0,00",50376,,,,,,,,,,2022,2,,,,,,
418,30/08/2022,22.06.2022-28.08.2022,27,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,94073,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","232,20","18,32","73,09","0,00","0,00","0,00","323,00","0,00","0,00","-0,61","0,00",,,,,,,,,,,2022,8,,,,,,
218,21/02/2022,14.12.2021-10.02.2022,10,Γ21,ΕΝΑΝΤΙ,Ημέρα,52576,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","1,18","0,55","7,96","0,00","0,00","0,00","10,00","0,00","0,00","0,31","0,00",,,,,,,,,,,2022,2,,,,,,
511,24/10/2022,23.08.2022-20.10.2022,22,Γ21,ΕΝΑΝΤΙ,Ημέρα,1495,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","22,83","2,11","12,37","0,00","0,00","0,00","37,00","0,00","0,00","-0,31","0,00",,,,,,,,,,,2022,10,,,,,,
205,01/09/2022,22.02.2022-29.08.2022,18,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,99725,1,2411,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","420,05","-31,43","140,69","0,00","0,00","0,00","-552,00","-2,90","0,00","-1078,41","0,00",2136,,,,,,,,,,2022,9,,,,,,
365,08/04/2021,08.02.2021-07.04.2021,16,Γ21,ΕΝΑΝΤΙ,Ημέρα,89143,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","331,95","29,68","167,58","0,00","0,00","0,00","524,00","-4,85","0,00","-0,36","0,00",,,,,,,,,,,2021,4,,,,,,
277,05/07/2022,03.06.2022-30.06.2022,4,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,50097,1,5340,"33,9",55,58,"1,0000","0,00",36,"0,00","21,9","1064,53","84,85","331,41","0,00","0,00","0,00","1506,00","-8,44","0,00","33,65","0,00",55437,,,,,,,,,,2022,7,,,,,,
268,21/04/2022,22.02.2022-19.04.2022,20,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,11732,1,0,"0,000",35,1,"1,0000","0,00","0,00","0,00","0,000","1490,84","113,54","401,53","0,00","0,00","0,00","2006,00","0,00","0,00","0,09","0,00",,,,,,,,,,,2022,4,,,,,,
513,22/12/2022,21.10.2022-20.12.2022,18,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,34182,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","549,95","43,20","170,02","0,00","0,00","0,00","763,00","0,00","0,00","-0,17","0,00",,,,,,,,,,,2022,12,,,,,,
