Παροχή_Κωδικοποιημένη,Ημ.Έκδοσης,"Περίοδος Κατανάλωσης",ΣΕΛΙΔΑ,Τιμολόγιο,ΤΥΠΟΣ,Ημέρα,Προηγ.,ΣΩΧΒ,Συν.ΩΧΒ,ΧρΖητ,ΣυμφΙσχ,ΕγκΙσχ,Συνφ,ΖητΑιχ,ΖητΗμ,ΖητΝυκ,ΣυντΧρησ,"ΧΡΕΩΣΕΙΣ ΠΡΟΜΗΘΕΙΑΣ ΔΕΗ","ΦΠΑ  6% x","ΡΥΘΜΙΖΟΜΕΝΕΣ ΧΡΕΩΣΕΙΣ","ΦΠΑ   % x          0,00","ΜΕΙΟΝ ΕΝΑΝΤΙ ΚΑΤΑΝΑΛΩΣΗΣ",Ε.Ρ.Τ.,"ΤΡΕΧΩΝ ΜΗΝΑΣ",ΕΚΠΤ.ΣΥΝΕΠΕΙΑΣ/ΠΡΟΠΛΗΡΩΜΗΣ,ΔΗΜ.ΤΕΛΗ/ΔΗΜ.ΦΟΡΟΣ,ΔΙΑΦ.ΧΡΕΩΣΕΙΣ/ΠΙΣΤΩΣΕΙΣ,Τ.Α.Π.,Τελευτ.,"Αεργος Ημέρα",Τελευτ._Αεργος,Προηγ._Αεργος,ΣΩΧΒ_Αεργος,Συν.ΩΧΒ_Αεργος,Νύχτα,Προηγ._Νύχτα,ΣΩΧΒ_Νύχτα,Συν.ΩΧΒ_Νύχτα,year,month,Τελευτ._Νύχτα,Ημέρα_2,Προηγ._2,ΣΩΧΒ_2,Συν.ΩΧΒ_2,Τελευτ._2
33,24/10/2022,31.08.2022-20.10.2022,2,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,26339,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","199,31","15,74","63,03","0,00","0,00","0,00","278,00","0,00","0,00","-0,08","0,00",,,,,,,,,,,2022,10,,,,,,
463,22/02/2022,27.12.2021-20.02.2022,21,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,75189,1,0,"0,000",35,35,"1,0000","0,00","0,00","0,00","0,000","424,71","38,01","251,95","0,00","0,00","5,52","677,00","-43,13","0,00","-0,06","0,00",,,,,,,,,,,2022,2,,,,,,
87,22/04/2021,22.02.2021-20.04.2021,4,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,70572,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","160,69","15,06","90,35","0,00","0,00","0,00","266,00","0,00","0,00","-0,10","0,00",,,,,,,,,,,2021,4,,,,,,
94,24/08/2022,22.06.2022-22.08.2022,5,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,11835,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","310,59","23,91","87,85","0,00","0,00","0,00","422,00","0,00","0,00","-0,35","0,00",,,,,,,,,,,2022,8,,,,,,
460,22/10/2021,23.08.2021-20.10.2021,30,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,51568,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","100,55","8,67","59,82","0,00","0,00","0,00","153,00","-15,76","0,00","-0,28","0,00",,,,,,,,,,,2021,10,,,,,,
457,23/06/2021,21.04.2021-21.06.2021,29,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,23229,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","27,05","2,78","19,25","0,00","0,00","0,00","49,00","0,00","0,00","-0,08","0,00",,,,,,,,,,,2021,6,,,,,,
417,27/06/2022,27.12.2021-21.06.2022,20,Γ21,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,82073,1,3351,"0,000",8,8,"1,0000","0,00","0,00","0,00","0,000","664,67","32,99","207,06","0,00","-332,97","0,00","587,00","-5,80","0,00","21,05","0,00",85424,,,,,,,,,,2022,6,,,,,,
247,14/06/2022,06.05.2022-02.06.2022,17,Γ22,ΕΝΑΝΤΙ,Ημέρα,92608,1,0,"13,1",35,36,"1,0000","0,00",7,"0,00","19,1","147,94","12,57","62,23","0,00","0,00","0,00","222,00","0,00","0,00","-0,74","0,00",,,,,,,,,,,2022,6,,,,,,
464,11/03/2021,03.02.2021-02.03.2021,11,Γ22,ΕΝΑΝΤΙ,Ημέρα,120005,1,0,"46,5",55,55,"1,0000","0,00",25,"0,00","9,3","215,31","19,25","105,48","0,00","0,00","2,76","343,00","0,00","0,00","0,20","0,00",,,,,,,,,,,2021,3,,,,,,
260,24/10/2022,30.08.2022-20.10.2022,19,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,32784,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","7,25","0,63","3,14","0,00","0,00","0,00","11,00","0,00","0,00","-0,02","0,00",,,,,,,,,,,2022,10,,,,,,
389,26/08/2021,24.02.2021-22.08.2021,24,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,8960,1,5297,"0,000",35,35,"1,0000","0,00","0,00","0,00","0,000","570,42","24,01","345,65","0,00","-542,53","0,00","429,00","0,00","0,00","31,45","0,00",14257,,,,,,,,,,2021,8,,,,,,
456,22/04/2021,24.02.2021-20.04.2021,31,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,14947,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","12,54","1,29","10,86","0,00","0,00","0,00","23,00","-2,08","0,00","0,39","0,00",,,,,,,,,,,2021,4,,,,,,
355,02/07/2022,02.06.2022-28.06.2022,4,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,29335,1,211,"7,0",35,32,"1,0000","0,00",4,"0,00","8,4","38,99","3,63","20,92","0,00","0,00","0,00","64,00","-0,48","0,00","0,94","0,00",29546,,,,,,,,,,2022,7,,,,,,
456,24/12/2021,21.10.2021-22.12.2021,29,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,15315,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","11,58","1,35","10,83","0,00","0,00","0,00","24,00","0,00","0,00","0,24","0,00",,,,,,,,,,,2021,12,,,,,,
357,04/12/2021,01.11.2021-30.11.2021,23,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,12723,40,5640,"104,0",135,123,"0,9870","0,00",52,"0,00","15,1","1550,73","117,36","377,15","0,00","0,00","0,00","2083,00","0,00","0,00","37,76","0,00",12864,Αεργος,8951,8928,40,920,,,,,2021,12,,,,,,
313,29/12/2021,23.06.2021-26.12.2021,13,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,72963,1,230,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","33,01","1,10","20,70","0,00","-36,43","0,00","20,00","0,00","0,00","1,62","0,00",73193,,,,,,,,,,2021,12,,,,,,
363,14/01/2021,01.12.2020-31.12.2020,3,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,1153,40,0,"8,3",85,79,"1,0000","0,00",4,"0,00","0,0","10,21","0,25","32,48","0,00","-38,57","0,00","5,00","0,00","0,00","0,63","0,00",1153,Αεργος,1397,1397,40,0,,,,,2021,1,,,,,,
125,23/06/2022,20.04.2022-21.06.2022,8,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,76974,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","200,32","16,95","82,17","0,00","0,00","0,00","299,00","0,00","0,00","-0,44","0,00",,,,,,,,,,,2022,6,,,,,,
511,22/02/2022,27.12.2021-20.02.2022,24,Γ21,ΕΝΑΝΤΙ,Ημέρα,990,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","12,65","1,45","13,16","0,00","0,00","0,00","26,00","-1,67","0,00","0,41","0,00",,,,,,,,,,,2022,2,,,,,,
76,22/02/2022,27.12.2021-20.02.2022,3,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,57804,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","73,88","6,54","42,72","0,00","0,00","0,00","115,00","-7,60","0,00","-0,54","0,00",,,,,,,,,,,2022,2,,,,,,
450,29/07/2021,28.05.2021-28.07.2021,3,Γ21,ΕΝΑΝΤΙ,Ημέρα,58039,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","137,67","12,20","74,23","0,00","0,00","6,12","222,00","-8,44","0,00","0,22","0,00",,,,,,,,,,,2021,7,,,,,,
477,22/02/2022,27.12.2021-20.02.2022,22,Γ21,ΕΝΑΝΤΙ,Ημέρα,2344,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","18,91","1,64","10,40","0,00","0,00","5,52","34,00","-1,97","0,00","-0,50","0,00",,,,,,,,,,,2022,2,,,,,,
318,04/11/2022,01.10.2022-31.10.2022,3,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,1025,40,120,"8,3",135,90,"0,8321","0,00",4,"0,00","4,0","63,25","7,03","53,37","0,00","0,00","0,00","125,00","0,00","0,00","1,35","0,00",1028,Αεργος,418,416,40,80,,,,,2022,11,,,,,,
28,23/06/2021,21.04.2021-21.06.2021,3,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,128707,1,0,"0,000",8,8,"1,0000","0,00","0,00","0,00","0,000","128,60","12,09","72,82","0,00","0,00","0,00","213,00","0,00","0,00","-0,51","0,00",,,,,,,,,,,2021,6,,,,,,
58,22/04/2021,24.02.2021-20.04.2021,5,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,11697,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","63,16","5,84","36,60","0,00","0,00","0,00","104,00","-2,48","0,00","0,88","0,00",,,,,,,,,,,2021,4,,,,,,
139,26/02/2021,24.08.2020-23.02.2021,7,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,56826,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","3,68","0,24","7,99","0,00","-7,61","0,00","5,00","0,00","0,00","0,70","0,00",56826,,,,,,,,,,2021,2,,,,,,
458,26/02/2021,24.08.2020-23.02.2021,27,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,34720,1,2712,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","272,90","17,67","163,20","0,00","-155,15","0,00","314,00","0,00","0,00","15,38","0,00",37432,,,,,,,,,,2021,2,,,,,,
397,24/10/2022,30.08.2022-20.10.2022,26,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,47667,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","567,34","44,93","181,39","0,00","0,00","0,00","794,00","0,00","0,00","0,34","0,00",,,,,,,,,,,2022,10,,,,,,
483,28/12/2021,23.06.2021-26.12.2021,22,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,31806,1,418,"0,000",8,0,"1,0000","0,00","0,00","0,00","0,000","56,93","-21,60","32,91","0,00","0,00","18,44","-375,00","0,00","0,00","-461,68","0,00",32224,,,,,,,,,,2021,12,,,,,,
131,24/12/2021,21.10.2021-22.12.2021,7,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,99774,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","124,55","12,08","76,79","0,00","0,00","0,00","214,00","0,00","0,00","0,58","0,00",,,,,,,,,,,2021,12,,,,,,
182,29/12/2022,21.10.2022-21.12.2022,6,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,83044,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","247,55","19,37","75,24","0,00","0,00","0,00","342,00","0,00","0,00","-0,16","0,00",,,,,,,,,,,2022,12,,,,,,
317,05/08/2021,01.07.2021-31.07.2021,21,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,5213,40,1040,"16,5",85,87,"0,8517","0,00",8,"0,00","17,5","130,28","12,34","95,41","0,00","0,00","0,00","219,00","-25,19","0,00","6,16","0,00",5239,Αεργος,4709,4693,40,640,,,,,2021,8,,,,,,
465,02/03/2022,01.02.2022-28.02.2022,6,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,3303,40,2160,"44,8",85,65,"0,9985","0,00",24,"0,00","13,4","550,31","42,67","154,21","0,00","0,00","2,76","760,00","-4,19","0,00","14,24","0,00",3357,Αεργος,531,528,40,120,,,,,2022,3,,,,,,
137,22/12/2022,21.10.2022-20.12.2022,9,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,65903,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","237,01","18,54","72,07","0,00","0,00","0,00","328,00","0,00","0,00","0,38","0,00",,,,,,,,,,,2022,12,,,,,,
364,31/08/2021,28.06.2021-27.08.2021,14,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,29287,1,3917,"81,3",55,35,"1,0000","0,00",20,"0,00","13,4","578,43","35,35","244,38","0,00","-253,28","0,00","628,00","0,00","0,00","23,12","0,00",33204,,,,,,,,,,2021,8,,,,,,
70,24/10/2022,31.08.2022-20.10.2022,5,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,128095,1,0,"0,000",8,8,"1,0000","0,00","0,00","0,00","0,000","303,74","23,96","95,63","0,00","0,00","0,00","423,00","0,00","0,00","-0,33","0,00",,,,,,,,,,,2022,10,,,,,,
488,24/02/2022,23.08.2021-21.02.2022,30,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,907,1,293,"0,000",8,0,"1,0000","0,00","0,00","0,00","0,000","50,88","3,10","24,02","0,00","-24,35","0,00","55,00","-0,48","0,00","1,83","0,00",1200,,,,,,,,,,2022,2,,,,,,
355,01/04/2022,31.01.2022-29.03.2022,16,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,28302,1,781,"33,6",35,32,"1,0000","0,00",9,"0,00","6,5","214,43","15,39","64,45","0,00","-24,28","0,00","274,00","-1,96","0,00","5,97","0,00",29083,,,,,,,,,,2022,4,,,,,,
79,13/07/2022,10.03.2022-07.07.2022,1,Γ1Ν,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,89815,1,16,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","11,00","0,37","2,52","0,00","-7,18","0,00","36,00","-0,16","23,23","0,02","6,20",89831,,,,,,Νύχτα,32079,1,0,2022,7,32079,,,,,
470,21/04/2022,22.02.2022-19.04.2022,32,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,47759,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","177,15","13,81","53,06","0,00","0,00","0,00","244,00","0,00","0,00","-0,02","0,00",,,,,,,,,,,2022,4,,,,,,
258,12/10/2021,02.09.2021-01.10.2021,18,Γ22,ΕΝΑΝΤΙ,Ημέρα,64102,1,0,"29,2",35,20,"1,0000","0,00",15,"0,00","15,5","202,50","18,55","106,53","0,00","0,00","0,00","327,00","0,00","0,00","-0,58","0,00",,,,,,,,,,,2021,10,,,,,,
255,22/10/2021,23.08.2021-20.10.2021,18,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,2273,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","149,79","12,66","84,84","0,00","0,00","0,00","223,00","-23,71","0,00","-0,58","0,00",,,,,,,,,,,2021,10,,,,,,
502,27/12/2022,22.06.2022-21.12.2022,21,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,2360,1,289,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","63,78","2,94","23,09","0,00","-39,27","0,00","53,00","-0,10","0,00","2,56","0,00",2649,,,,,,,,,,2022,12,,,,,,
473,22/10/2021,23.08.2021-20.10.2021,18,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,16236,1,0,"0,000",8,8,"1,0000","0,00","0,00","0,00","0,000","131,82","11,61","74,89","0,00","0,00","5,82","211,00","-13,09","0,00","-0,05","0,00",,,,,,,,,,,2021,10,,,,,,
439,23/03/2022,24.01.2022-22.03.2022,5,Γ22,ΕΝΑΝΤΙ,Ημέρα,239422,1,0,"106,3",35,80,"1,0000","0,00",28,"0,00","3,4","419,54","30,49","88,72","0,00","0,00","5,72","544,00","0,00","0,00","-0,47","0,00",,,,,,,,,,,2022,3,,,,,,
446,14/06/2022,01.05.2022-02.06.2022,21,Γ22,ΕΝΑΝΤΙ,Ημέρα,8542,40,0,"44,0",135,135,"1,0000","0,00",20,"0,00","4,6","195,83","17,45","96,42","0,00","0,00","3,25","311,00","0,00","0,00","-1,95","0,00",,Αεργος,,772,40,0,,,,,2022,6,,,,,,
373,21/04/2022,22.02.2022-19.04.2022,25,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,25732,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","159,22","12,46","48,43","0,00","0,00","0,00","220,00","0,00","0,00","-0,11","0,00",,,,,,,,,,,2022,4,,,,,,
258,12/07/2021,03.06.2021-01.07.2021,3,Γ22,ΕΝΑΝΤΙ,Ημέρα,59229,1,0,"39,1",35,20,"1,0000","0,00",20,"0,00","10,7","201,04","17,93","97,80","0,00","0,00","0,00","316,00","0,00","0,00","-0,77","0,00",,,,,,,,,,,2021,7,,,,,,
283,28/12/2021,23.06.2021-26.12.2021,12,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,36287,1,713,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","94,49","6,04","64,42","0,00","-61,79","0,00","108,00","0,00","0,00","4,84","0,00",37000,,,,,,,,,,2021,12,,,,,,
337,24/12/2021,21.10.2021-22.12.2021,13,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,30536,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","651,38","61,20","368,56","0,00","0,00","0,00","1081,00","0,00","0,00","-0,14","0,00",,,,,,,,,,,2021,12,,,,,,
486,24/10/2022,31.08.2022-20.10.2022,33,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,29151,1,0,"0,000",8,0,"1,0000","0,00","0,00","0,00","0,000","64,72","5,15","21,05","0,00","0,00","5,03","96,00","0,00","0,00","0,05","0,00",,,,,,,,,,,2022,10,,,,,,
491,22/02/2022,27.12.2021-20.02.2022,23,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,34481,1,0,"0,000",8,0,"1,0000","0,00","0,00","0,00","0,000","262,99","23,91","147,46","0,00","0,00","5,52","428,00","-11,98","0,00","0,10","0,00",,,,,,,,,,,2022,2,,,,,,
69,01/09/2022,22.02.2022-30.08.2022,4,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,80119,1,2669,"0,000",15,1,"1,0000","0,00","0,00","0,00","0,000","464,91","-26,51","162,09","0,00","0,00","0,00","-466,00","-3,19","0,00","-1063,30","0,00",82788,,,,,,,,,,2022,9,,,,,,
389,30/08/2022,22.06.2022-28.08.2022,25,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,24358,1,0,"0,000",35,35,"1,0000","0,00","0,00","0,00","0,000","397,89","31,73","131,03","0,00","0,00","0,00","561,00","0,00","0,00","0,35","0,00",,,,,,,,,,,2022,8,,,,,,
140,08/04/2021,08.02.2021-07.04.2021,8,Γ21,ΕΝΑΝΤΙ,Ημέρα,80728,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","500,41","42,26","248,84","0,00","0,00","0,00","746,00","-44,78","0,00","-0,73","0,00",,,,,,,,,,,2021,4,,,,,,
145,23/02/2021,23.12.2020-21.02.2021,5,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,99153,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","298,43","21,01","166,31","0,00","0,00","0,00","371,00","-114,51","0,00","-0,24","0,00",,,,,,,,,,,2021,2,,,,,,
322,21/04/2022,21.02.2022-19.04.2022,14,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,29447,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","1,16","0,22","2,51","0,00","0,00","0,00","4,00","0,00","0,00","0,11","0,00",,,,,,,,,,,2022,4,,,,,,
219,15/06/2022,10.02.2022-09.06.2022,10,Γ21,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,18205,1,5541,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","1016,34","16,25","345,94","0,00","-1105,61","0,00","294,00","-9,57","0,00","30,65","0,00",23746,,,,,,,,,,2022,6,,,,,,
275,24/08/2021,23.06.2021-22.08.2021,11,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,38246,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","395,62","26,59","225,89","0,00","0,00","0,00","470,00","-178,25","0,00","0,15","0,00",,,,,,,,,,,2021,8,,,,,,
121,21/04/2022,22.02.2022-19.04.2022,8,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,22098,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","305,81","23,21","80,98","0,00","0,00","0,00","410,00","0,00","0,00","0,00","0,00",,,,,,,,,,,2022,4,,,,,,
230,22/04/2021,22.02.2021-20.04.2021,9,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,35572,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","72,44","6,85","41,76","0,00","0,00","0,00","121,00","0,00","0,00","-0,05","0,00",,,,,,,,,,,2021,4,,,,,,
134,22/04/2021,24.02.2021-20.04.2021,8,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,64255,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","153,10","13,21","86,12","0,00","0,00","0,00","233,00","-18,93","0,00","-0,50","0,00",,,,,,,,,,,2021,4,,,,,,
243,15/02/2021,09.10.2020-10.02.2021,10,Γ21,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,54543,1,1118,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","137,99","8,43","71,60","0,00","-74,76","0,00","150,00","0,00","0,00","6,74","0,00",55661,,,,,,,,,,2021,2,,,,,,
253,11/05/2021,31.03.2021-27.04.2021,1,Γ22,ΕΝΑΝΤΙ,Ημέρα,83637,1,0,"2,5",35,20,"1,0000","0,00",3,"0,00","25,5","50,67","5,20","36,11","0,00","0,00","0,00","92,00","0,00","0,00","0,02","0,00",,,,,,,,,,,2021,5,,,,,,
419,24/08/2021,23.06.2021-22.08.2021,19,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,6100,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","1,22","0,57","8,26","0,00","0,00","0,00","10,00","0,00","0,00","-0,05","0,00",,,,,,,,,,,2021,8,,,,,,
374,26/02/2021,24.08.2020-23.02.2021,15,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,12792,1,523,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","55,60","3,39","53,54","0,00","-55,34","0,00","60,00","0,00","0,00","2,81","0,00",13315,,,,,,,,,,2021,2,,,,,,
184,24/10/2022,31.08.2022-20.10.2022,14,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,3062,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","28,99","2,33","9,89","0,00","0,00","0,00","42,00","0,00","0,00","0,79","0,00",,,,,,,,,,,2022,10,,,,,,
257,14/10/2022,03.09.2022-04.10.2022,18,Γ22,ΕΝΑΝΤΙ,Ημέρα,33638,1,0,"35,8",35,35,"1,0000","0,00",17,"0,00","7,3","253,13","19,24","67,64","0,00","0,00","0,00","340,00","0,00","0,00","-0,01","0,00",,,,,,,,,,,2022,10,,,,,,
299,08/06/2022,03.05.2022-29.05.2022,22,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,12415,1,7,"3,4",35,40,"1,0000","0,00",2,"0,00","0,6","5,75","0,37","8,78","0,00","-8,24","0,00","6,00","-0,10","0,00","-0,56","0,00",12422,,,,,,,,,,2022,6,,,,,,
99,22/04/2021,24.02.2021-20.04.2021,6,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,98349,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","153,60","13,00","86,39","0,00","0,00","0,00","229,00","-23,26","0,00","-0,73","0,00",,,,,,,,,,,2021,4,,,,,,
39,01/03/2021,22.12.2020-23.02.2021,1,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,99354,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","38,01","3,66","23,01","0,00","0,00","0,00","65,00","0,00","0,00","0,32","0,00",,,,,,,,,,,2021,3,,,,,,
488,23/06/2021,21.04.2021-21.06.2021,32,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,815,1,0,"0,000",8,0,"1,0000","0,00","0,00","0,00","0,000","5,61","0,65","5,09","0,00","0,00","0,00","12,00","0,00","0,00","0,65","0,00",,,,,,,,,,,2021,6,,,,,,
371,22/04/2021,24.02.2021-20.04.2021,16,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,22014,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","1,12","0,52","7,59","0,00","0,00","0,00","9,00","0,00","0,00","-0,23","0,00",,,,,,,,,,,2021,4,,,,,,
317,16/04/2021,05.03.2021-03.04.2021,22,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,5133,40,160,"0,0",85,87,"1,0000","0,00",0,"0,00","0,0","16,85","0,18","41,78","0,00","-56,57","0,00","4,00","0,00","0,00","1,76","0,00",5137,Αεργος,4615,4611,40,160,,,,,2021,4,,,,,,
6,26/02/2021,24.08.2020-23.02.2021,1,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,57273,1,1737,"0,000",8,8,"1,0000","0,00","0,00","0,00","0,000","176,11","6,37","102,93","0,00","-181,55","0,00","114,00","0,00","0,00","10,14","0,00",59010,,,,,,,,,,2021,2,,,,,,
91,22/02/2022,27.12.2021-20.02.2022,4,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,3672,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","167,20","14,80","94,41","0,00","0,00","0,00","261,00","-14,93","0,00","-0,48","0,00",,,,,,,,,,,2022,2,,,,,,
453,06/10/2021,01.09.2021-30.09.2021,20,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,7902,40,3560,"112,0",85,57,"0,7437","0,00",56,"0,00","8,8","745,65","58,64","258,39","0,00","0,00","2,96","1043,00","-44,57","0,00","21,93","0,00",7991,Αεργος,4829,4749,40,3200,,,,,2021,10,,,,,,
515,07/12/2021,27.10.2021-26.11.2021,24,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,4165,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","84,90","8,15","50,85","0,00","0,00","0,00","144,00","0,00","0,00","0,10","0,00",,,,,,,,,,,2021,12,,,,,,
407,22/04/2021,24.02.2021-20.04.2021,27,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,65665,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","165,11","13,54","97,89","0,00","0,00","0,00","240,00","-37,39","0,00","0,85","0,00",,,,,,,,,,,2021,4,,,,,,
